year;oil;gold;copper;sp500
1960;8.514978123;184.2473971;3545.761145;578.91
1961;8.045024778;180.628741;3244.062298;585.77
1962;7.646137774;177.2193643;3245.299218;672.96
1963;7.686329405;179.8088659;3309.993923;625.55
1964;7.327569739;177.3777227;4900.644952;723.17
1965;7.107594015;175.7878182;6471.134832;806.81
1966;6.565224675;169.5855462;7393.183181;857.77
1967;6.364463393;167.2466132;5430.239125;750.29
1968;6.372129832;187.9054195;5995.365587;814.66
1969;5.819224679;188.2465726;6723.449717;837.48
1970;5.212235611;154.8234999;6098.315665;698.34
1971;6.922073764;167.129853;4429.376294;686.6
1972;6.833715314;218.375378;3971.346069;734.65
1973;9.089702394;315.1069849;5780.36542;812.39
1974;29.15785585;423.0745328;5468.924775;602.84
1975;24.956436;385.2110275;2953.746368;407.08
1976;27.48371654;294.9615605;3310.216299;509.2
1977;27.46910849;322.9414707;2861.13773;518.64
1978;24.29875737;363.5203839;2567.51644;422.08
1979;52.21804152;517.1578156;3347.899152;426.72
1980;56.52604756;931.9588773;3345.516665;416.65
1981;54.34246527;704.077077;2667.658399;446.84
1982;51.53147498;593.1701157;2336.778989;363.59
1983;48.08806431;685.1035814;2581.197829;431.27
1984;47.34600675;597.642306;2283.478744;477.31
1985;45.54267407;532.6189206;2374.669302;475.43
1986;20.90292417;535.6016225;2001.118746;555.26
1987;24.12040351;593.4749127;2369.397914;695.25
1988;18.37158451;545.5388017;3247.496296;632.84
1989;22.4013392;478.9861186;3576.915524;688.86
1990;27.67450646;463.8390419;3219.313698;780
1991;23.64830939;442.1598013;2855.233495;706.83
1992;22.7949621;411.9371726;2733.786571;880.66
1993;19.51014539;416.7737757;2216.194195;892.12
1994;18.97370477;458.6313885;2755.786305;945.64
1995;18.69378419;417.9329987;3193.651713;904.8
1996;22.64645904;429.9675714;2545.072356;1163.16
1997;22.31211275;385.3440666;2649.802377;1407.69
1998;15.89910408;357.9864969;2012.948297;1742.49
1999;22.42347394;345.9033778;1951.648771;2221.61
2000;35.48246795;350.7201759;2279.383672;2468.57
2001;31.8004934;353.878578;2061.050772;2229.58
2002;32.93713439;409.5668123;2060.543905;1881.87
2003;36.29696071;456.5667373;2234.602113;1441.11
2004;44.37860746;481.2777578;3370.595366;1787.42
2005;60.87616006;507.2071291;4194.635171;1810.81
2006;71.49005651;672.0356633;7475.171698;1884.86
2007;74.52244763;730.0873252;7459.129515;2056.54
2008;94.31758367;847.6846772;6764.189183;1909.26
2009;64.02194964;1008.650896;5338.612943;1198.27
2010;79.04077178;1224.66425;7534.779583;1515.63
2011;93.70575127;1413.757637;7953.6269;1702.39
2012;95.31152279;1515.330288;7226.988911;1677.16
2013;94.87940373;1286.720999;6684.108843;1879.08
2014;88.92742601;1169.476277;6342.227603;2277.18
2015;51.86371799;1186.069383;5631.076427;2536.63
2016;45.52832222;1328.235473;5176.761037;2367.08
2017;54.25841395;1292.172443;6339.762495;2738.47
2018;67.15239138;1247.033262;6415.619786;3289.86
2019;61.72971534;1399.805003;6041.681228;3027.78
2020;41.67893282;1788.324734;6236.792034;3714.39
2021;68.67853022;1789.41497;9264.169006;4239.2
